run-id,use_vernalisation_fix,sowing-date,harvest-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name,species_param_name,cultivar_param_name,param_value,param_index_in_array,coeff
1,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1998-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,,,,,,
2,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1998-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,Schweinfurt,,,,,
3,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1998-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,Unstrut-Hainich-Kreis,,,,,
4,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1998-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,Emsland,,,,,
5,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1,148_284_335_180_274_25,historic_runs,Dahme-Spreewald,,,,,
6,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.52,148_284_335_180_274_25,historic_runs,A,,,,,
7,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.53,148_284_335_180_274_25,historic_runs,B,,,,,
8,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.54,148_284_335_180_274_25,historic_runs,C,,,,,
9,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.55,148_284_335_180_274_25,historic_runs,Emsland,,RespiratoryStress,50,,
10,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.56,148_284_335_180_274_25,historic_runs,Emsland,RespiratoryStress,RespiratoryStress,51,,
11,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.57,148_284_335_180_274_25,historic_runs,Emsland,RespiratoryStress,RespiratoryStress,52,,
12,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.59,148_284_335_180_274_25,historic_runs,Emsland,RespiratoryStress,RespiratoryStress,53,,
13,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.60,148_284_335_180_274_25,historic_runs,Emsland,RespiratoryStress,RespiratoryStress,55,,
14,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.61,148_284_335_180_274_25,historic_runs,I,,,,,
15,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.63,148_284_335_180_274_25,historic_runs,J,,,,,
16,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.65,148_284_335_180_274_25,historic_runs,K,,,,,
17,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.66,148_284_335_180_274_25,historic_runs,L,,,,,
18,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.67,148_284_335_180_274_25,historic_runs,M,,,,,
19,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.68,148_284_335_180_274_25,historic_runs,N,,,,,
20,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.71,148_284_335_180_274_25,historic_runs,O,,,,,
21,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.72,148_284_335_180_274_25,historic_runs,P,,,,,
22,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.73,148_284_335_180_274_25,historic_runs,Q,,,,,
23,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.74,148_284_335_180_274_25,historic_runs,R,,,,,
24,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.75,148_284_335_180_274_25,historic_runs,S,,,,,
25,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.76,148_284_335_180_274_25,historic_runs,T,,,,,
26,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.77,148_284_335_180_274_25,historic_runs,U,,,,,
27,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.78,148_284_335_180_274_25,historic_runs,V,,,,,
28,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.79,148_284_335_180_274_25,historic_runs,W,,,,,
29,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.80,148_284_335_180_274_25,historic_runs,X,,,,,
30,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.81,148_284_335_180_274_25,historic_runs,Y,,,,,
31,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.82,148_284_335_180_274_25,historic_runs,Z,,,,,
32,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.83,148_284_335_180_274_25,historic_runs,Aa,,,,,
33,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.84,148_284_335_180_274_25,historic_runs,Bb,,,,,
34,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.85,148_284_335_180_274_25,historic_runs,Cc,,,,,
35,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.86,148_284_335_180_274_25,historic_runs,Dd,,,,,
36,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.87,148_284_335_180_274_25,historic_runs,Ee,,,,,
37,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.88,148_284_335_180_274_25,historic_runs,Ff,,,,,
38,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.89,148_284_335_180_274_25,historic_runs,Gg,,,,,
39,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.90,148_284_335_180_274_25,historic_runs,Hh,,,,,
40,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.91,148_284_335_180_274_25,historic_runs,Ii,,,,,
41,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.92,148_284_335_180_274_25,historic_runs,Jj,,,,,
42,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.93,148_284_335_180_274_25,historic_runs,Kk,,,,,
43,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.94,148_284_335_180_274_25,historic_runs,Ll,,,,,
44,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.95,148_284_335_180_274_25,historic_runs,Mm,,,,,
45,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.96,148_284_335_180_274_25,historic_runs,Nn,,,,,
46,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.97,148_284_335_180_274_25,historic_runs,Oo,,,,,
47,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.98,148_284_335_180_274_25,historic_runs,Pp,,,,,
48,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,0.99,148_284_335_180_274_25,historic_runs,Qq,,,,,
49,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,Rr,,,,,
50,True,fixed,auto,WW_sfix_hauto,sim_test.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1901-2018_unzipped,,,,,,1999-01-01,2019-12-31,False,False,True,True,True,False,False,True,False,True,False,False,False,,,1.0,148_284_335_180_274_25,historic_runs,,,,,,
